Run Order,T,S,C,M,E,UTS
1,350,0.05,"(3,3)",A,62.06,4.59
2,500,0.03,"(5,5)",A,72.71,4.96
3,650,0.05,"(4,4)",A,63.2,4.5
4,350,0.05,"(4,4)",A,69.38,5.2
5,650,0.05,"(3,3)",A,56.17,3.87
6,350,0.05,"(3,3)",A,62.06,4.59
7,350,0.09,"(5,5)",A,74.5,5.64
8,350,0.05,"(3,3)",A,62.06,4.59
9,500,0.07,"(3,3)",A,55.67,4.55
10,350,0.01,"(4,4)",A,71.5,4.67
11,350,0.05,"(5,5)",A,76.45,5.47
12,50,0.05,"(5,5)",A,90.38,8.85
13,350,0.05,"(5,5)",A,76.45,5.47
14,350,0.05,"(5,5)",A,76.45,5.47
15,200,0.07,"(5,5)",A,81.26,5.56
16,200,0.03,"(3,3)",A,68.44,4.71
17,350,0.05,"(5,5)",A,76.45,5.47
18,350,0.01,"(5,5)",A,78.73,5.46
19,500,0.07,"(4,4)",A,64.11,5.2
20,350,0.09,"(4,4)",A,66.94,5.42
21,350,0.05,"(4,4)",A,69.38,5.2
22,350,0.09,"(3,3)",A,59.97,4.76
23,350,0.05,"(3,3)",A,62.06,4.59
24,200,0.07,"(4,4)",A,74.29,5.46
25,350,0.05,"(4,4)",A,69.38,5.2
26,500,0.03,"(3,3)",A,58.42,4.11
27,350,0.05,"(4,4)",A,69.38,5.2
28,500,0.03,"(4,4)",A,65.32,4.61
29,200,0.07,"(3,3)",A,66.67,5.32
30,500,0.07,"(5,5)",A,70.66,4.82
31,350,0.05,"(5,5)",A,76.45,5.47
32,650,0.05,"(5,5)",A,68.02,4.84
33,50,0.05,"(3,3)",A,74.45,6.02
34,50,0.05,"(4,4)",A,82.73,7.38
35,350,0.05,"(4,4)",A,69.38,5.2
36,200,0.03,"(5,5)",A,84.47,6.01
37,350,0.01,"(3,3)",A,64.55,4.37
38,200,0.03,"(4,4)",A,77.14,5.66
39,350,0.05,"(3,3)",A,62.06,4.59
40,350,0.05,"(3,3)",B,50.03,4.43
41,500,0.03,"(5,5)",B,62.09,5.37
42,650,0.05,"(4,4)",B,50.24,3.39
43,350,0.05,"(4,4)",B,56.99,3.85
44,650,0.05,"(3,3)",B,43.48,3.85
45,350,0.05,"(3,3)",B,50.03,4.43
46,350,0.09,"(5,5)",B,63.19,5.46
47,350,0.05,"(3,3)",B,50.03,4.43
48,500,0.07,"(3,3)",B,44.96,3.98
49,350,0.01,"(4,4)",B,60.28,4.04
50,350,0.05,"(5,5)",B,65.13,5.63
51,50,0.05,"(5,5)",B,78.89,6.82
52,350,0.05,"(5,5)",B,65.13,5.63
53,350,0.05,"(5,5)",B,65.13,5.63
54,200,0.07,"(5,5)",B,69.75,6.03
55,200,0.03,"(3,3)",B,57.33,5.07
56,350,0.05,"(5,5)",B,65.13,5.63
57,350,0.01,"(5,5)",B,68.56,5.93
58,500,0.07,"(4,4)",B,50.25,3.39
59,350,0.09,"(4,4)",B,54.31,3.67
60,350,0.05,"(4,4)",B,56.99,3.85
61,350,0.09,"(3,3)",B,46.15,4.08
62,350,0.05,"(3,3)",B,50.03,4.43
63,200,0.07,"(4,4)",B,61.45,4.15
64,350,0.05,"(4,4)",B,56.99,3.85
65,500,0.03,"(3,3)",B,46.15,4.09
66,350,0.05,"(4,4)",B,56.99,3.85
67,500,0.03,"(4,4)",B,53.87,3.64
68,200,0.07,"(3,3)",B,53.75,4.76
69,500,0.07,"(5,5)",B,58.59,5.07
70,350,0.05,"(5,5)",B,65.13,5.63
71,650,0.05,"(5,5)",B,57.09,4.94
72,50,0.05,"(3,3)",B,62.65,5.55
73,50,0.05,"(4,4)",B,70.32,4.75
74,350,0.05,"(4,4)",B,56.99,3.85
75,200,0.03,"(5,5)",B,72.74,6.29
76,350,0.01,"(3,3)",B,52.56,4.66
77,200,0.03,"(4,4)",B,64.81,4.38
78,350,0.05,"(3,3)",B,50.03,4.43
